Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,MillStyle,
Dye,72B-318,BROWN,49,W,,1,,   7740-24030-1   ,
Dye,72B-318,BROWN,35,W,,1,,    783A24338-1   ,
Dye,72B-370,COPPER,96,W,,1,,   7740-24013-1   ,
Dye,72B-370,COPPER,210,W,,1,,   7652-24269-1   ,
Dye,72B-396,RED,31,W,,1,,   7740-24013-1   ,
Dye,72B-396,RED,112,W,,1,,   7740-24015-1   ,
Dye,72B-487,GREEN,36,W,,1,,   7740-24013-1   ,
Dye,72B-487,GREEN,283,W,,1,,   7652-24267-1   ,
Dye,72B-505,YELLOW,110,W,,1,,   7652-23580-2   ,
Dye,72B-518,PURPLE,376,W,,1,,   7652-23888-1   ,
Dye,72B-524,RED,512,W,,1,,   7652-22833-1   ,
Dye,72B-524,RED,93,W,,1,,   7652-23581-1   ,
Dye,72B-524,RED,268,W,,1,,   7652-23888-1   ,
Dye,72B-529,COPPER,215,W,,1,,   7742-24019-1   ,
Dye,72B-576,GREEN,53,W,,1,,   7740-24013-1   ,
Dye,72B-670,GREEN,632,W,,1,,    783A24007-1   ,
Dye,72B-670,GREEN,300,W,,1,,    783A24008-1   ,
Dye,72B-670,GREEN,553,W,,1,,   7652-23883-1   ,
Dye,72B-670,GREEN,287,W,,1,,   7740-23994-1   ,
Dye,72B-818,BLUE,316,W,,1,,   7652-23921-1   ,
Dye,72B-818,BLUE,68,W,,1,,   7740-24011-1   ,
Dye,72B-818,BLUE,103,W,,1,,    783A24338-1   ,
Dye,72B-837,TAN,1264,W,,1,,   7652-22833-1   ,
Dye,72B-837,TAN,41,W,,1,,   7740-24030-1   ,
Dye,72B-883,GREEN,189,W,,1,,   7740-24030-1   ,
Dye,72B-979,GOLD,136,W,,1,,   7652-22833-1   ,
Dye,72B-979,GOLD,95,W,,1,,   7652-23580-1   ,
Dye,72B-979,GOLD,8,W,,1,,    783A24009-1   ,
Dye,72B-979,GOLD,6,W,,1,,   7652-23581-1   ,
Dye,72B-979,GOLD,6,W,,1,,   7740-24012-1   ,
Dye,72B-979,GOLD,70,W,,1,,   7740-24013-1   ,
Dye,72B-979,GOLD,15,W,,1,,   7740-24029-1   ,
Dye,72B-979,GOLD,28,W,,1,,   7742-24443-1   ,
Dye,72B-A66,TAN,240,W,,1,,    783A24337-1   ,
Dye,72B-A66,TAN,71,W,,1,,   7652-24269-1   ,
Dye,72B-B91,TAN,20,W,,1,,   7742-24019-1   ,
Dye,72B-B91,TAN,216,W,,1,,   7652-24267-1   ,
Dye,72B-D58,BROWN,8,W,,1,,    783A24009-1   ,
Dye,72B-D58,BROWN,5,W,,1,,   7740-24012-1   ,
Dye,72B-D58,BROWN,28,W,,1,,   7740-24030-1   ,
Dye,72B-D58,BROWN,66,W,,1,,   7652-24268-1   ,
Dye,72B-J05,PURPLE,163,W,,1,,   7652-23883-1   ,
Dye,72B-J63,GREY,488,W,,1,,   7652-24078-1   ,
Dye,72B-J63,GREY,52,W,,1,,   7740-24012-1   ,
Dye,72B-J63,GREY,2769,W,,1,,   7742-24170-2   ,
Dye,80A-039,TAN,134,W,,1,,    513A24027-1   ,
